index, vertexes, solution time(milliseconds), graph type
22.2, 5200, 6, sparse
22.3, 5200, 6, sparse
22.4, 5200, 6, sparse
22.5, 5200, 6, sparse
22.6, 5200, 6, sparse
22.7, 5200, 7, sparse
22.8, 5200, 8, sparse
22.9, 5200, 8, sparse
22.10, 5200, 8, sparse
23.1, 5400, 6, sparse
23.2, 5400, 10, sparse
23.3, 5400, 7, sparse
23.4, 5400, 7, sparse
23.5, 5400, 10, sparse
23.6, 5400, 6, sparse
23.7, 5400, 10, sparse
23.8, 5400, 7, sparse
23.9, 5400, 7, sparse
23.10, 5400, 8, sparse
24.1, 5600, 7, sparse
24.2, 5600, 7, sparse
24.3, 5600, 6, sparse
24.4, 5600, 7, sparse
24.5, 5600, 7, sparse
24.6, 5600, 13, sparse
24.7, 5600, 8, sparse
24.8, 5600, 7, sparse
24.9, 5600, 8, sparse
24.10, 5600, 9, sparse
25.1, 5800, 7, sparse
25.2, 5800, 8, sparse
25.3, 5800, 7, sparse
25.4, 5800, 7, sparse
25.5, 5800, 9, sparse
25.6, 5800, 8, sparse
25.7, 5800, 8, sparse
25.8, 5800, 9, sparse
25.9, 5800, 7, sparse
25.10, 5800, 6, sparse
26.1, 6000, 7, sparse
26.2, 6000, 7, sparse
26.3, 6000, 7, sparse
26.4, 6000, 8, sparse
26.5, 6000, 10, sparse
26.6, 6000, 7, sparse
26.7, 6000, 8, sparse
26.8, 6000, 8, sparse
26.9, 6000, 7, sparse
26.10, 6000, 7, sparse
27.1, 6200, 7, sparse
27.2, 6200, 7, sparse
27.3, 6200, 7, sparse
27.4, 6200, 8, sparse
27.5, 6200, 8, sparse
27.6, 6200, 7, sparse
27.7, 6200, 8, sparse
27.8, 6200, 7, sparse
27.9, 6200, 8, sparse
27.10, 6200, 8, sparse
28.1, 6400, 7, sparse
28.2, 6400, 8, sparse
28.3, 6400, 8, sparse
28.4, 6400, 8, sparse
28.5, 6400, 8, sparse
28.6, 6400, 8, sparse
28.7, 6400, 8, sparse
28.8, 6400, 9, sparse
28.9, 6400, 11, sparse
28.10, 6400, 7, sparse
29.1, 6600, 8, sparse
29.2, 6600, 8, sparse
29.3, 6600, 8, sparse
29.4, 6600, 9, sparse
29.5, 6600, 8, sparse
29.6, 6600, 9, sparse
29.7, 6600, 8, sparse
29.8, 6600, 9, sparse
29.9, 6600, 8, sparse
29.10, 6600, 8, sparse
30.1, 6800, 8, sparse
30.2, 6800, 11, sparse
30.3, 6800, 8, sparse
30.4, 6800, 8, sparse
30.5, 6800, 8, sparse
30.6, 6800, 8, sparse
30.7, 6800, 8, sparse
30.8, 6800, 8, sparse
30.9, 6800, 9, sparse
30.10, 6800, 8, sparse
31.1, 7000, 9, sparse
31.2, 7000, 8, sparse
31.3, 7000, 9, sparse
31.4, 7000, 11, sparse
31.5, 7000, 9, sparse
31.6, 7000, 8, sparse
31.7, 7000, 8, sparse
31.8, 7000, 8, sparse
31.9, 7000, 9, sparse
31.10, 7000, 8, sparse
32.1, 7200, 8, sparse
32.2, 7200, 8, sparse
32.3, 7200, 9, sparse
32.4, 7200, 9, sparse
32.5, 7200, 9, sparse
32.6, 7200, 9, sparse
32.7, 7200, 8, sparse
32.8, 7200, 9, sparse
32.9, 7200, 9, sparse
32.10, 7200, 9, sparse
33.1, 7400, 11, sparse
33.2, 7400, 11, sparse
33.3, 7400, 9, sparse
33.4, 7400, 9, sparse
33.5, 7400, 9, sparse
33.6, 7400, 9, sparse
33.7, 7400, 9, sparse
33.8, 7400, 9, sparse
33.9, 7400, 10, sparse
33.10, 7400, 9, sparse
34.1, 7600, 10, sparse
34.2, 7600, 9, sparse
34.3, 7600, 10, sparse
34.4, 7600, 9, sparse
34.5, 7600, 9, sparse
34.6, 7600, 9, sparse
34.7, 7600, 9, sparse
34.8, 7600, 10, sparse
34.9, 7600, 10, sparse
34.10, 7600, 10, sparse
35.1, 7800, 9, sparse
35.2, 7800, 10, sparse
35.3, 7800, 17, sparse
35.4, 7800, 12, sparse
35.5, 7800, 9, sparse
35.6, 7800, 11, sparse
35.7, 7800, 9, sparse
35.8, 7800, 18, sparse
35.9, 7800, 11, sparse
35.10, 7800, 9, sparse
Average times: 
iteration, vertexes, solution time(milliseconds), graph type
1, 1000, 1, sparse
2, 1200, 1, sparse
3, 1400, 1, sparse
4, 1600, 1, sparse
5, 1800, 1, sparse
6, 2000, 2, sparse
7, 2200, 2, sparse
8, 2400, 2, sparse
9, 2600, 2, sparse
10, 2800, 3, sparse
11, 3000, 3, sparse
12, 3200, 3, sparse
13, 3400, 4, sparse
14, 3600, 4, sparse
15, 3800, 4, sparse
16, 4000, 6, sparse
17, 4200, 5, sparse
18, 4400, 5, sparse
19, 4600, 5, sparse
20, 4800, 7, sparse
21, 5000, 7, sparse
22, 5200, 6, sparse
23, 5400, 7, sparse
24, 5600, 7, sparse
25, 5800, 7, sparse
26, 6000, 7, sparse
27, 6200, 7, sparse
28, 6400, 8, sparse
29, 6600, 8, sparse
30, 6800, 8, sparse
31, 7000, 8, sparse
32, 7200, 8, sparse
33, 7400, 9, sparse
34, 7600, 9, sparse
35, 7800, 11, sparse
