index, vertexes, solution time(milliseconds), graph type
35.8, 7800, 15096, dense
35.9, 7800, 15040, dense
35.10, 7800, 15081, dense
Average times: 
iteration, vertexes, solution time(milliseconds), graph type
1, 1000, 218, dense
2, 1200, 326, dense
3, 1400, 460, dense
4, 1600, 536, dense
5, 1800, 651, dense
6, 2000, 820, dense
7, 2200, 1002, dense
8, 2400, 1323, dense
9, 2600, 1454, dense
10, 2800, 1700, dense
11, 3000, 2009, dense
12, 3200, 2300, dense
13, 3400, 2612, dense
14, 3600, 3023, dense
15, 3800, 3346, dense
16, 4000, 3667, dense
17, 4200, 4228, dense
18, 4400, 4603, dense
19, 4600, 5444, dense
20, 4800, 5572, dense
21, 5000, 6188, dense
22, 5200, 6725, dense
23, 5400, 7096, dense
24, 5600, 7545, dense
25, 5800, 8881, dense
26, 6000, 9834, dense
27, 6200, 9771, dense
28, 6400, 10396, dense
29, 6600, 11316, dense
30, 6800, 11956, dense
31, 7000, 12060, dense
32, 7200, 12453, dense
33, 7400, 13273, dense
34, 7600, 15665, dense
35, 7800, 15391, dense
