index, vertexes, solution time(milliseconds), graph type
1.1, 1000, 187, dense
1.2, 1000, 193, dense
1.3, 1000, 195, dense
1.4, 1000, 243, dense
1.5, 1000, 274, dense
1.6, 1000, 292, dense
1.7, 1000, 201, dense
1.8, 1000, 211, dense
1.9, 1000, 195, dense
1.10, 1000, 193, dense
2.1, 1200, 402, dense
2.2, 1200, 395, dense
2.3, 1200, 281, dense
2.4, 1200, 293, dense
2.5, 1200, 281, dense
2.6, 1200, 316, dense
2.7, 1200, 304, dense
2.8, 1200, 340, dense
2.9, 1200, 333, dense
2.10, 1200, 317, dense
3.1, 1400, 558, dense
3.2, 1400, 458, dense
3.3, 1400, 422, dense
3.4, 1400, 388, dense
3.5, 1400, 378, dense
3.6, 1400, 492, dense
3.7, 1400, 511, dense
3.8, 1400, 513, dense
3.9, 1400, 485, dense
3.10, 1400, 398, dense
4.1, 1600, 516, dense
4.2, 1600, 507, dense
4.3, 1600, 516, dense
4.4, 1600, 511, dense
4.5, 1600, 507, dense
4.6, 1600, 506, dense
4.7, 1600, 688, dense
4.8, 1600, 599, dense
4.9, 1600, 507, dense
4.10, 1600, 504, dense
5.1, 1800, 649, dense
5.2, 1800, 652, dense
5.3, 1800, 649, dense
5.4, 1800, 647, dense
5.5, 1800, 656, dense
5.6, 1800, 655, dense
5.7, 1800, 650, dense
5.8, 1800, 651, dense
5.9, 1800, 649, dense
5.10, 1800, 652, dense
6.1, 2000, 815, dense
6.2, 2000, 814, dense
6.3, 2000, 808, dense
6.4, 2000, 815, dense
6.5, 2000, 806, dense
6.6, 2000, 813, dense
6.7, 2000, 814, dense
6.8, 2000, 815, dense
6.9, 2000, 816, dense
6.10, 2000, 888, dense
7.1, 2200, 1035, dense
7.2, 2200, 994, dense
7.3, 2200, 999, dense
7.4, 2200, 1002, dense
7.5, 2200, 999, dense
7.6, 2200, 999, dense
7.7, 2200, 1002, dense
7.8, 2200, 993, dense
7.9, 2200, 995, dense
7.10, 2200, 1004, dense
8.1, 2400, 1194, dense
8.2, 2400, 1211, dense
8.3, 2400, 1200, dense
8.4, 2400, 1531, dense
8.5, 2400, 1236, dense
8.6, 2400, 1262, dense
8.7, 2400, 1225, dense
8.8, 2400, 1475, dense
8.9, 2400, 1625, dense
8.10, 2400, 1276, dense
9.1, 2600, 1430, dense
9.2, 2600, 1451, dense
9.3, 2600, 1487, dense
9.4, 2600, 1448, dense
9.5, 2600, 1488, dense
9.6, 2600, 1456, dense
9.7, 2600, 1435, dense
9.8, 2600, 1447, dense
9.9, 2600, 1452, dense
9.10, 2600, 1449, dense
10.1, 2800, 1706, dense
10.2, 2800, 1696, dense
10.3, 2800, 1703, dense
10.4, 2800, 1697, dense
10.5, 2800, 1703, dense
10.6, 2800, 1700, dense
10.7, 2800, 1691, dense
10.8, 2800, 1693, dense
10.9, 2800, 1697, dense
10.10, 2800, 1714, dense
11.1, 3000, 1988, dense
11.2, 3000, 2424, dense
11.3, 3000, 1997, dense
11.4, 3000, 1958, dense
11.5, 3000, 1944, dense
11.6, 3000, 1961, dense
11.7, 3000, 1947, dense
11.8, 3000, 1949, dense
11.9, 3000, 1967, dense
11.10, 3000, 1959, dense
12.1, 3200, 2274, dense
12.2, 3200, 2252, dense
12.3, 3200, 2229, dense
12.4, 3200, 2226, dense
12.5, 3200, 2299, dense
12.6, 3200, 2228, dense
12.7, 3200, 2695, dense
12.8, 3200, 2271, dense
12.9, 3200, 2266, dense
12.10, 3200, 2265, dense
13.1, 3400, 2613, dense
13.2, 3400, 2572, dense
13.3, 3400, 2603, dense
13.4, 3400, 2631, dense
13.5, 3400, 2566, dense
13.6, 3400, 2597, dense
13.7, 3400, 2613, dense
13.8, 3400, 2576, dense
13.9, 3400, 2604, dense
13.10, 3400, 2754, dense
14.1, 3600, 2955, dense
14.2, 3600, 3019, dense
14.3, 3600, 2957, dense
14.4, 3600, 2972, dense
14.5, 3600, 2887, dense
14.6, 3600, 2868, dense
14.7, 3600, 2898, dense
14.8, 3600, 2896, dense
14.9, 3600, 3869, dense
14.10, 3600, 2909, dense
15.1, 3800, 3266, dense
15.2, 3800, 3252, dense
15.3, 3800, 3269, dense
15.4, 3800, 3271, dense
15.5, 3800, 3251, dense
15.6, 3800, 3251, dense
15.7, 3800, 3279, dense
15.8, 3800, 3360, dense
15.9, 3800, 3862, dense
15.10, 3800, 3404, dense
16.1, 4000, 3704, dense
16.2, 4000, 3654, dense
16.3, 4000, 3682, dense
16.4, 4000, 3643, dense
16.5, 4000, 3677, dense
16.6, 4000, 3663, dense
16.7, 4000, 3729, dense
16.8, 4000, 3638, dense
16.9, 4000, 3637, dense
16.10, 4000, 3643, dense
17.1, 4200, 4043, dense
17.2, 4200, 4054, dense
17.3, 4200, 4043, dense
17.4, 4200, 4075, dense
17.5, 4200, 4027, dense
17.6, 4200, 4066, dense
17.7, 4200, 4086, dense
17.8, 4200, 5591, dense
17.9, 4200, 4159, dense
17.10, 4200, 4139, dense
18.1, 4400, 4494, dense
18.2, 4400, 4647, dense
18.3, 4400, 4481, dense
18.4, 4400, 4449, dense
18.5, 4400, 4517, dense
18.6, 4400, 4512, dense
18.7, 4400, 4495, dense
18.8, 4400, 5409, dense
18.9, 4400, 4543, dense
18.10, 4400, 4485, dense
19.1, 4600, 4961, dense
19.2, 4600, 6422, dense
19.3, 4600, 4996, dense
19.4, 4600, 4983, dense
19.5, 4600, 6302, dense
19.6, 4600, 5801, dense
19.7, 4600, 4891, dense
19.8, 4600, 6008, dense
19.9, 4600, 5007, dense
19.10, 4600, 5072, dense
20.1, 4800, 5438, dense
20.2, 4800, 5895, dense
20.3, 4800, 5393, dense
20.4, 4800, 5462, dense
20.5, 4800, 6266, dense
20.6, 4800, 5399, dense
20.7, 4800, 5489, dense
20.8, 4800, 5443, dense
20.9, 4800, 5409, dense
20.10, 4800, 5534, dense
21.1, 5000, 5969, dense
21.2, 5000, 6013, dense
21.3, 5000, 5952, dense
21.4, 5000, 5950, dense
21.5, 5000, 7353, dense
21.6, 5000, 6975, dense
21.7, 5000, 5905, dense
21.8, 5000, 5896, dense
21.9, 5000, 5783, dense
21.10, 5000, 6085, dense
22.1, 5200, 6360, dense
22.2, 5200, 6373, dense
22.3, 5200, 7401, dense
22.4, 5200, 6472, dense
22.5, 5200, 7799, dense
22.6, 5200, 6924, dense
22.7, 5200, 6295, dense
22.8, 5200, 6999, dense
22.9, 5200, 6293, dense
22.10, 5200, 6343, dense
23.1, 5400, 7414, dense
23.2, 5400, 7351, dense
23.3, 5400, 6991, dense
23.4, 5400, 6872, dense
23.5, 5400, 6928, dense
23.6, 5400, 7039, dense
23.7, 5400, 6902, dense
23.8, 5400, 6812, dense
23.9, 5400, 7639, dense
23.10, 5400, 7014, dense
24.1, 5600, 7425, dense
24.2, 5600, 8079, dense
24.3, 5600, 7438, dense
24.4, 5600, 7507, dense
24.5, 5600, 7392, dense
24.6, 5600, 7471, dense
24.7, 5600, 7432, dense
24.8, 5600, 7537, dense
24.9, 5600, 7575, dense
24.10, 5600, 7603, dense
25.1, 5800, 9859, dense
25.2, 5800, 11061, dense
25.3, 5800, 9153, dense
25.4, 5800, 8087, dense
25.5, 5800, 8262, dense
25.6, 5800, 9691, dense
25.7, 5800, 8169, dense
25.8, 5800, 8330, dense
25.9, 5800, 8112, dense
25.10, 5800, 8094, dense
26.1, 6000, 8706, dense
26.2, 6000, 10366, dense
26.3, 6000, 8821, dense
26.4, 6000, 8643, dense
26.5, 6000, 8655, dense
26.6, 6000, 10975, dense
26.7, 6000, 12966, dense
26.8, 6000, 10897, dense
26.9, 6000, 9405, dense
26.10, 6000, 8913, dense
27.1, 6200, 9580, dense
27.2, 6200, 9393, dense
27.3, 6200, 9431, dense
27.4, 6200, 9319, dense
27.5, 6200, 9418, dense
27.6, 6200, 9502, dense
27.7, 6200, 11814, dense
27.8, 6200, 9525, dense
27.9, 6200, 9428, dense
27.10, 6200, 10306, dense
28.1, 6400, 10779, dense
28.2, 6400, 10095, dense
28.3, 6400, 10193, dense
28.4, 6400, 11113, dense
28.5, 6400, 10246, dense
28.6, 6400, 10258, dense
28.7, 6400, 10227, dense
28.8, 6400, 10344, dense
28.9, 6400, 10338, dense
28.10, 6400, 10373, dense
29.1, 6600, 11167, dense
29.2, 6600, 10990, dense
29.3, 6600, 11509, dense
29.4, 6600, 11212, dense
29.5, 6600, 10959, dense
29.6, 6600, 11241, dense
29.7, 6600, 11179, dense
29.8, 6600, 11122, dense
29.9, 6600, 11150, dense
29.10, 6600, 12633, dense
30.1, 6800, 11596, dense
30.2, 6800, 11544, dense
30.3, 6800, 11733, dense
30.4, 6800, 12075, dense
30.5, 6800, 12202, dense
30.6, 6800, 12167, dense
30.7, 6800, 12550, dense
30.8, 6800, 12155, dense
30.9, 6800, 11714, dense
30.10, 6800, 11826, dense
31.1, 7000, 13263, dense
31.2, 7000, 13204, dense
31.3, 7000, 11775, dense
31.4, 7000, 11649, dense
31.5, 7000, 11803, dense
31.6, 7000, 11725, dense
31.7, 7000, 11996, dense
31.8, 7000, 11662, dense
31.9, 7000, 11697, dense
31.10, 7000, 11833, dense
32.1, 7200, 12467, dense
32.2, 7200, 12335, dense
32.3, 7200, 12377, dense
32.4, 7200, 12464, dense
32.5, 7200, 12339, dense
32.6, 7200, 12406, dense
32.7, 7200, 12516, dense
32.8, 7200, 13048, dense
32.9, 7200, 12289, dense
32.10, 7200, 12295, dense
33.1, 7400, 13217, dense
33.2, 7400, 13055, dense
33.3, 7400, 13290, dense
33.4, 7400, 14065, dense
33.5, 7400, 13051, dense
33.6, 7400, 13297, dense
33.7, 7400, 13213, dense
33.8, 7400, 13180, dense
33.9, 7400, 13136, dense
33.10, 7400, 13235, dense
34.1, 7600, 13948, dense
34.2, 7600, 14081, dense
34.3, 7600, 15056, dense
34.4, 7600, 14046, dense
34.5, 7600, 22995, dense
34.6, 7600, 18523, dense
34.7, 7600, 14085, dense
34.8, 7600, 14288, dense
34.9, 7600, 15101, dense
34.10, 7600, 14528, dense
35.1, 7800, 15202, dense
35.2, 7800, 15032, dense
35.3, 7800, 15019, dense
35.4, 7800, 17237, dense
35.5, 7800, 15479, dense
35.6, 7800, 15614, dense
35.7, 7800, 15119, dense
