index, solution time(milliseconds)
1.1, 6358
1.2, 6504
1.3, 5820
1.4, 5965
1.5, 5948
1.6, 5974
1.7, 5995
1.8, 6162
1.9, 5979
1.10, 6033
2.1, 7306
2.2, 7351
2.3, 7791
2.4, 7413
2.5, 9785
2.6, 7427
2.7, 7336
2.8, 7411
2.9, 7399
2.10, 7432
3.1, 8879
3.2, 8783
3.3, 8846
3.4, 8833
3.5, 8895
3.6, 9013
3.7, 8855
3.8, 10199
3.9, 8834
3.10, 0
4.1, 0
4.2, 0
4.3, 0
4.4, 0
4.5, 0
4.6, 0
4.7, 0
4.8, 0
4.9, 0
4.10, 0
5.1, 0
5.2, 0
5.3, 0
5.4, 0
5.5, 0
5.6, 0
